Latitude,Longitude
31.229071,121.452449
31.229071,121.452449
31.229071,121.452449
31.234499,121.463079
31.236009,121.478941
31.242867,121.490229
31.234796,121.533464
31.348329,121.593744
31.360948,121.595293
31.360948,121.595293
31.280339,121.402957
31.268263,121.394134
31.288777,121.390078
31.274336,121.39328
31.274336,121.39328
31.335151,121.590721
31.29092,121.359453
31.29092,121.359453
31.272659,121.601779
35.379598,116.072359
35.379598,116.072359
31.280348,121.592755
31.308964,121.403345
31.296405,121.392803
31.292718,121.410291
31.285059,121.406807
31.163393,121.381735
